mode,num_ops,transfer_size,switch_delay,max_outstanding,avg_latency_ns,ops_completed,blocks_transferred,total_sim_time_ns,total_bytes,effective_bw_gbps,aggregate_bw_gbps,sim_duration_ms,orch_mode
dcs,10,256,10,16,794.0,10.0,40.0,0,2560,0.0,,0,serialized
dcs-pipe,10,256,10,16,656.2,10.0,40.0,0,2560,0.0,,0,pipelined
baseline,10,256,10,16,168.425,,,479,2560,5.34446764091858,5.34447,0,
dcs,100,256,10,16,4509.72,100.0,400.0,0,25600,0.0,,8,serialized
dcs-pipe,100,256,10,16,4399.93,100.0,400.0,0,25600,0.0,,8,pipelined
baseline,100,256,10,16,169.843,,,4079,25600,6.27604805099289,6.27605,5,
dcs,10,256,10,32,791.0,10.0,40.0,0,2560,0.0,,0,serialized
dcs-pipe,10,256,10,32,714.2,10.0,40.0,0,2560,0.0,,0,pipelined
baseline,10,256,10,32,261.488,,,489,2560,5.23517382413088,5.23517,0,
dcs,100,256,10,32,4544.49,100.0,400.0,0,25600,0.0,,8,serialized
dcs-pipe,100,256,10,32,4412.71,100.0,400.0,0,25600,0.0,,8,pipelined
baseline,100,256,10,32,322.702,,,4079,25600,6.27604805099289,6.27605,5,
dcs,10,256,25,16,1754.0,10.0,40.0,0,2560,0.0,,1,serialized
dcs-pipe,10,256,25,16,1413.6,10.0,40.0,0,2560,0.0,,1,pipelined
baseline,10,256,25,16,388.45,,,1114,2560,2.2980251346499103,2.29803,0,
dcs,100,256,25,16,10739.3,100.0,400.0,0,25600,0.0,,15,serialized
dcs-pipe,100,256,25,16,10624.1,100.0,400.0,0,25600,0.0,,15,pipelined
baseline,100,256,25,16,421.345,,,10114,25600,2.5311449475973897,2.53114,9,
dcs,10,256,25,32,1766.5,10.0,40.0,0,2560,0.0,,1,serialized
dcs-pipe,10,256,25,32,1559.0,10.0,40.0,0,2560,0.0,,1,pipelined
baseline,10,256,25,32,595.415,,,1139,2560,2.247585601404741,2.24759,0,
dcs,100,256,25,32,11074.8,100.0,400.0,0,25600,0.0,,14,serialized
dcs-pipe,100,256,25,32,10676.9,100.0,400.0,0,25600,0.0,,15,pipelined
baseline,100,256,25,32,801.405,,,10114,25600,2.5311449475973897,2.53114,9,
dcs,10,4096,10,16,24395.7,10.0,640.0,0,40960,0.0,,28,serialized
dcs-pipe,10,4096,10,16,21757.5,10.0,640.0,0,40960,0.0,,28,pipelined
baseline,10,4096,10,16,174.864,,,6942,40960,5.900316911552866,5.90032,9,
dcs,100,4096,10,16,199595.0,100.0,6400.0,0,409600,0.0,,289,serialized
dcs-pipe,100,4096,10,16,192383.0,100.0,6400.0,0,409600,0.0,,286,pipelined
baseline,100,4096,10,16,174.61,,,65874,409600,6.217931201991681,6.21793,92,
dcs,10,4096,10,32,13816.1,10.0,640.0,0,40960,0.0,,18,serialized
dcs-pipe,10,4096,10,32,13213.8,10.0,640.0,0,40960,0.0,,19,pipelined
baseline,10,4096,10,32,325.439,,,6479,40960,6.321963265936101,6.32196,8,
dcs,100,4096,10,32,110486.0,99.0,6336.0,0,409600,0.0,,186,serialized
dcs-pipe,100,4096,10,32,112676.0,100.0,6400.0,0,409600,0.0,,186,pipelined
baseline,100,4096,10,32,331.215,,,64403,409600,6.359952176140863,6.35995,92,
dcs,10,4096,25,16,28473.1,10.0,640.0,0,40960,0.0,,31,serialized
dcs-pipe,10,4096,25,16,25729.7,10.0,640.0,0,40960,0.0,,32,pipelined
baseline,10,4096,25,16,422.716,,,16114,40960,2.541889040585826,2.54189,14,
dcs,100,4096,25,16,230217.0,100.0,6400.0,0,409600,0.0,,323,serialized
dcs-pipe,100,4096,25,16,226702.0,100.0,6400.0,0,409600,0.0,,278,pipelined
baseline,100,4096,25,16,425.069,,,160226,409600,2.556389100395691,2.55639,150,
dcs,10,4096,25,32,20456.5,10.0,640.0,0,40960,0.0,,23,serialized
dcs-pipe,10,4096,25,32,20046.1,10.0,640.0,0,40960,0.0,,24,pipelined
baseline,10,4096,25,32,810.253,,,16114,40960,2.541889040585826,2.54189,14,
dcs,100,4096,25,32,165691.0,100.0,6400.0,0,409600,0.0,,248,serialized
dcs-pipe,100,4096,25,32,167628.0,100.0,6400.0,0,409600,0.0,,255,pipelined
baseline,100,4096,25,32,823.525,,,160114,409600,2.5581772986746945,2.55818,150,
dcs,10,65536,10,16,4841400.0,10.0,10240.0,0,655360,0.0,,3894,serialized
dcs-pipe,10,65536,10,16,3717960.0,10.0,10240.0,0,655360,0.0,,3474,pipelined
baseline,10,65536,10,16,174.039,,,104993,655360,6.241939938853067,6.24194,145,
dcs,100,65536,10,16,39112200.0,100.0,102400.0,0,6553600,0.0,,4099,serialized
dcs-pipe,100,65536,10,16,34131100.0,100.0,102400.0,0,6553600,0.0,,3422,pipelined
baseline,100,65536,10,16,174.923,,,1054675,6553600,6.213857349420437,6.21386,1582,
dcs,10,65536,10,32,2212850.0,10.0,10240.0,0,655360,0.0,,1896,serialized
dcs-pipe,10,65536,10,32,1888770.0,10.0,10240.0,0,655360,0.0,,1827,pipelined
baseline,10,65536,10,32,331.165,,,102929,655360,6.367107423563816,6.36711,145,
dcs,100,65536,10,32,19176400.0,100.0,102400.0,0,6553600,0.0,,2014,serialized
dcs-pipe,100,65536,10,32,17353500.0,100.0,102400.0,0,6553600,0.0,,1873,pipelined
baseline,100,65536,10,32,331.661,,,1029323,6553600,6.366903294689811,6.3669,1447,
dcs,10,65536,25,16,4879400.0,10.0,10240.0,0,655360,0.0,,3978,serialized
dcs-pipe,10,65536,25,16,2203690.0,10.0,10240.0,0,655360,0.0,,1919,pipelined
baseline,10,65536,25,16,425.22,,,256546,655360,2.554551620372175,2.55455,230,
dcs,100,65536,25,16,17613500.0,100.0,102400.0,0,6553600,0.0,,2007,serialized
dcs-pipe,100,65536,25,16,18159900.0,100.0,102400.0,0,6553600,0.0,,1960,pipelined
baseline,100,65536,25,16,425.313,,,2562084,6553600,2.5579176951263114,2.55792,2301,
dcs,10,65536,25,32,1144930.0,10.0,10240.0,0,655360,0.0,,1177,serialized
dcs-pipe,10,65536,25,32,1131110.0,10.0,10240.0,0,655360,0.0,,1052,pipelined
baseline,10,65536,25,32,824.078,,,256114,655360,2.558860507430285,2.55886,239,
dcs,100,65536,25,32,9026160.0,100.0,102400.0,0,6553600,0.0,,1174,serialized
dcs-pipe,100,65536,25,32,9376080.0,100.0,102400.0,0,6553600,0.0,,1142,pipelined
baseline,100,65536,25,32,824.908,,,2560114,6553600,2.5598860050763363,2.55989,2314,
